model,bert_precision_media,bert_precision_mediana,bert_precision_desvio,bert_recall_media,bert_recall_mediana,bert_recall_desvio,bert_F1_media,bert_F1_mediana,bert_F1_desvio
Gemini,0.840142,0.84165,0.020479,0.800492,0.8045,0.021107,0.819586,0.8207,0.015018
Claude,0.850617,0.85195,0.018835,0.816333,0.815,0.022645,0.832868,0.83275,0.015201
OpenAI,0.846908,0.8444,0.02266,0.836773,0.83855,0.020494,0.84157,0.8426,0.016326
DeepSeek,0.846028,0.84665,0.018396,0.80747,0.80885,0.021441,0.82605,0.82625,0.014186
